indextank-engine old version fail!
search-guard old version fail!
checkstyle old version fail!
word old version fail!
OpenTripPlanner old version fail!
mybatis-3 old version fail!
fastjson old version fail!
ews-java-api old version fail!
client: extentreports-java, lib: org.jsoup:jsoup, type: Fail
client: jafka, lib: net.sf.jopt-simple:jopt-simple, type: Fail
client: ebean, lib: com.fasterxml.jackson.core:jackson-databind, type: Error
client: ebean, lib: org.slf4j:slf4j-api, type: Error
client: ebean, lib: ch.qos.logback:logback-classic, type: Error
client: jasmine-maven-plugin, lib: org.slf4j:slf4j-api, type: Fail
client: mmseg4j-solr, lib: org.apache.solr:solr-core, type: Error
client: android-volley, lib: org.mockito:mockito-core, type: Error
client: photon, lib: org.springframework:spring-jdbc, type: Error
client: photon, lib: org.mockito:mockito-core, type: Error
client: photon, lib: org.openstreetmap.osmosis:osmosis-hstore-jdbc, type: Error
client: purdue-fastr, lib: com.googlecode.netlib-java:netlib-java, type: Error
client: Mybatis-PageHelper, lib: org.mybatis:mybatis, type: Error
client: jackson-databind, lib: org.powermock:powermock-module-junit4, type: Error
client: closure-templates, lib: args4j:args4j, type: Fail
client: restheart, lib: org.mongodb:mongodb-driver, type: Fail
client: spring-data-jpa, lib: javax.interceptor:javax.interceptor-api, type: Error
client: secor, lib: org.mockito:mockito-all, type: Error
client: secor, lib: junit:junit, type: Error
client: secor, lib: org.powermock:powermock-api-mockito, type: Error
client: secor, lib: org.powermock:powermock-module-junit4, type: Error
client: secor, lib: io.confluent:kafka-avro-serializer, type: Error
client: secor, lib: org.msgpack:jackson-dataformat-msgpack, type: Error
client: secor, lib: org.apache.hadoop:hadoop-openstack, type: Error
client: secor, lib: org.apache.hadoop:hadoop-mapreduce-client-core, type: Error
client: secor, lib: org.apache.hadoop:hadoop-common, type: Error
client: mango, lib: org.mockito:mockito-core, type: Error
client: FizzBuzzEnterpriseEdition, lib: org.springframework:spring-beans, type: Error
client: FizzBuzzEnterpriseEdition, lib: org.springframework:spring-core, type: Error
client: FizzBuzzEnterpriseEdition, lib: org.springframework:spring-context, type: Error
client: log4j, lib: javax.mail:mail, type: Error
client: soot, lib: org.powermock:powermock-mockito-release-full, type: Fail
client: jdeb, lib: org.bouncycastle:bcpg-jdk15on, type: Fail
client: jpush-api-java-client, lib: junit:junit, type: Error
client: jongo, lib: org.reflections:reflections, type: Error
client: http-request, lib: junit:junit, type: Fail
